NAME,median_income,total_population,poverty_count,state,county,poverty_rate
"Putnam County, Florida",44852.0,73604.0,16506,FLORIDA,PUTNAM,22.42541166240965
"St. Johns County, Florida",100020.0,278722.0,18720,FLORIDA,ST. JOHNS,6.716369716061164
"St. Lucie County, Florida",66154.0,334682.0,41337,FLORIDA,ST. LUCIE,12.351127338787267
"Santa Rosa County, Florida",84715.0,188994.0,16407,FLORIDA,SANTA ROSA,8.681227975491286
"Sarasota County, Florida",77213.0,439392.0,35122,FLORIDA,SARASOTA,7.993318039472726
"Seminole County, Florida",79490.0,471321.0,44796,FLORIDA,SEMINOLE,9.504350538168255
"Sumter County, Florida",70105.0,131832.0,11443,FLORIDA,SUMTER,8.679986649675344
"Suwannee County, Florida",49729.0,43881.0,5999,FLORIDA,SUWANNEE,13.67106492559422
"Taylor County, Florida",46239.0,21421.0,2777,FLORIDA,TAYLOR,12.963913916250409
"Union County, Florida",64043.0,15524.0,1656,FLORIDA,UNION,10.66735377480031
"Volusia County, Florida",63075.0,558520.0,66328,FLORIDA,VOLUSIA,11.875671417317195
"Wakulla County, Florida",72035.0,33732.0,1888,FLORIDA,WAKULLA,5.597059172299301
"Walton County, Florida",74832.0,76618.0,7898,FLORIDA,WALTON,10.308282648985879
"Washington County, Florida",47536.0,25014.0,5046,FLORIDA,WASHINGTON,20.172703286159752
"Appling County, Georgia",43268.0,18441.0,4577,GEORGIA,APPLING,24.819695244292607
"Atkinson County, Georgia",38007.0,8265.0,2266,GEORGIA,ATKINSON,27.416817906836055
"Bacon County, Georgia",43938.0,11138.0,2278,GEORGIA,BACON,20.45250493804992
"Baker County, Georgia",45417.0,2878.0,666,GEORGIA,BAKER,23.1410701876303
"Baldwin County, Georgia",54699.0,43778.0,8864,GEORGIA,BALDWIN,20.247612956279408
"Banks County, Georgia",69096.0,18381.0,2411,GEORGIA,BANKS,13.11680539687721
"Barrow County, Georgia",75053.0,84399.0,8009,GEORGIA,BARROW,9.489448927119989
"Bartow County, Georgia",74812.0,109410.0,11700,GEORGIA,BARTOW,10.693720866465588
"Ben Hill County, Georgia",38255.0,17169.0,4442,GEORGIA,BEN HILL,25.872211544061972
"Berrien County, Georgia",48670.0,18187.0,4167,GEORGIA,BERRIEN,22.91197008852477
"Bibb County, Georgia",48897.0,156554.0,37641,GEORGIA,BIBB,24.043461042196306
"Bleckley County, Georgia",56021.0,12413.0,1906,GEORGIA,BLECKLEY,15.35486989446548
"Brantley County, Georgia",40166.0,18105.0,2933,GEORGIA,BRANTLEY,16.19994476663905
"Brooks County, Georgia",42263.0,16275.0,4277,GEORGIA,BROOKS,26.27956989247312
"Bryan County, Georgia",90627.0,44995.0,3200,GEORGIA,BRYAN,7.111901322369151
"Bulloch County, Georgia",53675.0,79829.0,16576,GEORGIA,BULLOCH,20.764383870523243
"Burke County, Georgia",50321.0,24337.0,4150,GEORGIA,BURKE,17.052225007190696
"Butts County, Georgia",60076.0,25522.0,3612,GEORGIA,BUTTS,14.152495885902358
"Calhoun County, Georgia",48663.0,5594.0,1007,GEORGIA,CALHOUN,18.001430103682516
"Camden County, Georgia",68104.0,55105.0,8638,GEORGIA,CAMDEN,15.67552853643045
"Candler County, Georgia",45519.0,10946.0,1947,GEORGIA,CANDLER,17.787319568792253
"Carroll County, Georgia",66895.0,120060.0,19641,GEORGIA,CARROLL,16.359320339830084
"Catoosa County, Georgia",68896.0,68052.0,6012,GEORGIA,CATOOSA,8.834420737083407
"Charlton County, Georgia",45770.0,12547.0,2381,GEORGIA,CHARLTON,18.976647804255997
"Chatham County, Georgia",66171.0,296266.0,39871,GEORGIA,CHATHAM,13.45783856399317
"Chattahoochee County, Georgia",52943.0,9402.0,908,GEORGIA,CHATTAHOOCHEE,9.657519676664538
"Chattooga County, Georgia",43556.0,24902.0,4593,GEORGIA,CHATTOOGA,18.444301662517066
"Cherokee County, Georgia",100824.0,268567.0,17662,GEORGIA,CHEROKEE,6.576385036136234
"Clarke County, Georgia",48692.0,128864.0,31528,GEORGIA,CLARKE,24.466103799354357
"Clay County, Georgia",43264.0,2855.0,720,GEORGIA,CLAY,25.21891418563923
"Clayton County, Georgia",56207.0,296312.0,49313,GEORGIA,CLAYTON,16.642255460460596
"Clinch County, Georgia",53350.0,6713.0,2149,GEORGIA,CLINCH,32.012513034410844
"Cobb County, Georgia",94244.0,765813.0,62536,GEORGIA,COBB,8.165962186591244
"Coffee County, Georgia",48398.0,43056.0,8063,GEORGIA,COFFEE,18.72677443329617
"Colquitt County, Georgia",47235.0,45813.0,11024,GEORGIA,COLQUITT,24.063038875428372
"Columbia County, Georgia",92571.0,156921.0,11234,GEORGIA,COLUMBIA,7.159016320314043
"Cook County, Georgia",46706.0,17242.0,3694,GEORGIA,COOK,21.42442872056606
"Coweta County, Georgia",90031.0,147449.0,12209,GEORGIA,COWETA,8.280151103093273
"Crawford County, Georgia",56948.0,12156.0,1987,GEORGIA,CRAWFORD,16.345837446528463
"Crisp County, Georgia",47463.0,20255.0,4648,GEORGIA,CRISP,22.947420390027155
"Dade County, Georgia",59531.0,16239.0,985,GEORGIA,DADE,6.065644436233758
"Dawson County, Georgia",84516.0,27355.0,2623,GEORGIA,DAWSON,9.588740632425516
"Decatur County, Georgia",47383.0,29063.0,6805,GEORGIA,DECATUR,23.414650930736673
"DeKalb County, Georgia",76044.0,761209.0,100326,GEORGIA,DEKALB,13.179823149752565
"Dodge County, Georgia",46091.0,19977.0,4090,GEORGIA,DODGE,20.473544576262704
"Dooly County, Georgia",54109.0,11236.0,1942,GEORGIA,DOOLY,17.283730865076542
"Dougherty County, Georgia",45640.0,85038.0,21493,GEORGIA,DOUGHERTY,25.274583127542982
